,Name,Location,Price,Kms_driven,Fuel_type,Year,Company
269,Ford Ecosport -,Pune,664799,51295, Petrol ,2016,Ford
270,Maruti Suzuki Baleno,Pune,617799,48693, Petrol ,2016,Maruti
271,Maruti Suzuki Ciaz,Pune,749299,36626, Diesel ,2017,Maruti
272,Renault Duster -,Pune,795799,55752, Diesel ,2016,Renault
273,Tata Tigor -,Pune,543499,49341, Diesel ,2017,Tata
274,Maruti Suzuki Alto,Chennai,317199,60251, Petrol ,2015,Maruti
275,Maruti Suzuki Alto,Pune,373699,22269, Petrol ,2015,Maruti
276,Volkswagen Ameo -,Pune,501799,38999, Petrol ,2016,Volkswagen
277,Maruti Suzuki Vitara,Pune,838699,29110, Diesel ,2019,Maruti
278,Hyundai Creta -,Pune,1804399,14506, Petrol ,2020,Hyundai
279,Chevrolet Beat LT,Bangalore,175000,55000, Petrol,2010,Chevrolet
280,Tata Hexa XM,Madurai,1200000,60000, Diesel,2018,Tata
281,Toyota Corolla H5,Chennai,170000,80000, Petrol,2006,Toyota
282,Maruti Suzuki Wagon,Chennai,360000,36000, Petrol,2014,Maruti
283,Hyundai Xcent 1.2,Chennai,299000,95000, Diesel ,2016,Hyundai
284,Ford Figo 1.5,Chennai,176000,88000, Diesel ,2010,Ford
285,Maruti Suzuki Wagon,Chennai,325000,60000, Petrol ,2014,Maruti
286,Hyundai Creta -,Pune,1804399,14506, Petrol ,2020,Hyundai
287,Maruti Suzuki S,Pune,985299,29115, Diesel ,2017,Maruti
288,Maruti Suzuki Baleno,Pune,642899,34763, Petrol ,2017,Maruti
289,Maruti Suzuki Ciaz,Chennai,740000,12500, Diesel ,2015,Maruti
290,Maruti Suzuki Baleno,Pune,610000,85000, Petrol,2017,Maruti
291,Hyundai Grand i10,Pune,495000,40000, Petrol,2016,Hyundai
292,Hyundai Verna 1.6,Pune,510000,71000, Petrol,2014,Hyundai
293,Maruti Suzuki Baleno,Pune,560000,44000, Petrol,2017,Maruti
294,Toyota Innova 2.0,Pune,455000,124000, Diesel,2009,Toyota
295,Maruti Suzuki Wagon,Pune,350000,78000, CNG,2012,Maruti
296,Renault Kwid CLIMBER,Bangalore,463099,44696, Petrol ,2017,Renault
297,Maruti Suzuki Alto,Pune,350599,33004, Petrol ,2018,Maruti
298,Hyundai Verna Fluidic,Chennai,636299,46034, Petrol ,2016,Hyundai
299,Hyundai Grand i10,Chennai,698199,60307, Petrol ,2020,Hyundai
300,Hyundai Grand i10,Chennai,764199,8825, Petrol ,2021,Hyundai
301,Maruti Suzuki Celerio,Chennai,524799,5743, Petrol ,2019,Maruti
302,Ford EcoSport Ambiente,Chennai,420000,87000, Diesel ,2013,Ford
303,Kia Seltos GTX,Bangalore,1831000,19500, Petrol,2020,Kia
304,Chevrolet Beat LS,Chennai,210000,60000, Petrol,2010,Chevrolet
305,Volkswagen Vento Highline,Chennai,465000,70000, Petrol,2013,Volkswagen
306,Audi Q7 35,Chennai,2250000,65000, Diesel,2017,Audi
307,Maruti Suzuki Ertiga,Chennai,1090000,35623, Petrol,2020,Maruti
308,Toyota Innova -,Bangalore,375000,160000, Petrol,2005,Toyota
309,Hyundai i20 Sportz,Chennai,225000,98500, Petrol,2009,Hyundai
310,Maruti Suzuki Celerio,Chennai,524799,5743, Petrol ,2019,Maruti
311,Maruti Suzuki Eeco,Chennai,493899,25735, Petrol ,2019,Maruti
312,Hyundai Elite i20,Chennai,825299,37522, Petrol ,2019,Hyundai
313,Maruti Suzuki Wagon,Chennai,495499,38955, Petrol ,2018,Maruti
314,Hyundai Eon Era,Chennai,277599,65308, Petrol ,2014,Hyundai
315,Maruti Suzuki Wagon,Chennai,473899,30467, Petrol ,2017,Maruti
316,Hyundai Venue S,Chennai,855299,1954, Petrol ,2019,Hyundai
317,Hyundai Santro 1.1,Chennai,540299,35220, Petrol ,2019,Hyundai
318,Hyundai Elite i20,Chennai,642899,75876, Petrol ,2016,Hyundai
319,Maruti Suzuki Alto,Chennai,442299,27020, Petrol ,2021,Maruti
320,Renault Triber 1.0,Chennai,725399,13739, Petrol ,2019,Renault
321,Maruti Suzuki Wagon,Chennai,558299,21544, Petrol ,2019,Maruti
322,Maruti Suzuki Alto,Chennai,354299,13816, Petrol ,2016,Maruti
323,Hyundai Elite i20,Chennai,673599,23817, Petrol ,2016,Hyundai
324,Hyundai Grand i10,Chennai,525099,60985, Petrol ,2017,Hyundai
